airport,latitude,longitude,elevation,radius,height
KABQ,35.048665,-106.616704,5355,65.1732,18000
KATL,33.639975,-84.444032,1026,65.1732,18000
KBNA,36.134773,-86.668042,599,65.1732,18000
KBOS,42.369543,-71.020061,20,65.1732,18000
KBUR,34.20378,-118.35985,778,65.1732,18000
KBWI,39.180862,-76.667548,146,65.1732,18000
KCID,41.890633,-91.708608,869.4,65.1732,18000
KCLE,41.411675,-81.834693,799.4,65.1732,18000
KCLT,35.220969,-80.944215,748,65.1732,18000
KCMH,39.993926,-82.890979,814.7,65.1732,18000
KCOS,38.808889,-104.709167,6187,65.1732,18000
KCVG,39.055222,-84.661251,896,65.1732,18000
KDAL,32.844911,-96.851935,487,65.1732,18000
KDCA,38.851944,-77.0375,14.9,65.1732,18000
KDEN,39.849312,-104.673829,5433.8,65.1732,18000
KDFW,32.897449,-97.040653,607,65.1732,18000
KDSM,41.530254,-93.649923,958,65.1732,18000
KDTW,42.208343,-83.357175,645.2,65.1732,18000
KELP,31.798853,-106.394992,3961.6,65.1732,18000
KEWR,40.68987,-74.17821,18,65.1732,18000
KFAT,36.76996,-119.720014,336,65.1732,18000
KFLL,26.072747,-80.140029,9,65.1732,18000
KHOU,29.654107,-95.276614,46,65.1732,18000
KIAD,38.953381,-77.447712,312,65.1732,18000
KIAH,29.986679,-95.338111,96.4,65.1732,18000
KIND,39.714975,-86.296213,797,65.1732,18000
KJFK,40.643772,-73.781993,14,65.1732,18000
KLAX,33.9425,-118.408056,125,65.1732,18000
KLGA,40.77392,-73.872002,21,65.1732,18000
KLGB,33.818421,-118.144392,60,65.1732,18000
KLIT,34.728832,-92.220389,266,65.1732,18000
KMCI,39.297695,-94.716287,1026,65.1732,18000
KMCO,28.431639,-81.308286,96,65.1732,18000
KMDW,41.788455,-87.741819,619.8,65.1732,18000
KMEM,35.044702,-89.981659,341,65.1732,18000
KMIA,25.796549,-80.275614,8.5,65.1732,18000
KMKE,42.947639,-87.90295,729,65.1732,18000
KMSP,44.881234,-93.203111,841.9,65.1732,18000
KMSY,29.984223,-90.255969,4,65.1732,18000
KOAK,37.710714,-122.214446,9,65.1732,18000
KOKC,35.395645,35.395645,1295,65.1732,18000
KONT,34.060855,-117.598279,944,65.1732,18000
KORD,41.98032,-87.902313,672,65.1732,18000
KPBI,26.688618,-80.090697,20,65.1732,18000
KPDX,45.589237,-122.593889,31,65.1732,18000
KPHL,39.874972,-75.249071,36,65.1732,18000
KPHX,33.43653,-112.007268,1135,65.1732,18000
KPSP,33.823099,-116.508125,477,65.1732,18000
KRDU,35.876723,-78.793058,435,65.1732,18000
KRSW,26.54285,-81.754568,30,65.1732,18000
KSAN,32.7319,-117.197312,16.8,65.1732,18000
KSDF,38.186106,-85.741758,501,65.1732,18000
KSEA,47.44443,-122.300497,433,65.1732,18000
KSFO,37.615223,-122.389979,13,65.1732,18000
KSJC,37.366695,-121.925906,62,65.1732,18000
KSLC,40.785596,-111.980673,4227,65.1732,18000
KSMF,38.692686,-121.587941,27,65.1732,18000
KSNA,33.680488,-117.860223,56,65.1732,18000
KSTL,38.742766,-90.366061,618,65.1732,18000
KTPA,27.976891,-82.533377,26,65.1732,18000
KTUL,36.189265,-95.889037,677.5,65.1732,18000
KTUS,32.121037,-110.937366,2643.2,65.1732,18000
KXNA,36.276355,-94.298204,1288,65.1732,18000
